startsAt,open,high,low,close,volume,quoteVolume
1542250800,181.50917328,183.12237598,181.00000001,181.59818547,193.80096135,35223.56800324
1542254400,181.00000000,181.00000000,177.36159060,179.61926410,112.48186314,20081.99319268
1542258000,179.61926410,181.41545674,179.00000000,180.18240530,46.45049541,8343.10847578
1542261600,181.41545693,181.71999999,179.98708056,181.65015006,237.28123190,42983.70371280
1542265200,182.00000000,184.60000000,182.00000000,183.80000000,206.20185263,37943.46862063
1542268800,184.59999996,185.00000000,180.55323447,180.55323491,100.43260797,18348.58365785
1542272400,180.55323672,182.73030318,180.30000003,182.49999913,36.41703369,6612.13602540
1542276000,182.00000364,182.43263901,175.00000259,178.86944410,1038.13996224,184015.91697493
1542279600,178.07930567,179.00000000,177.49076946,177.49077302,289.57785752,51676.48125447
1542283200,177.49077656,180.28985808,177.49077656,179.07493026,55.13668705,9914.47810735
1542286800,179.08207000,179.25619380,177.49077304,179.00428476,15.31636023,2732.24578156
1542290400,178.00000890,178.48714054,171.50000000,171.98280175,321.62657955,56124.67336195
1542294000,172.19110260,182.07219000,171.50000464,181.40841200,580.75352721,103609.30532071
1542297600,180.25650888,184.00000000,177.77700000,181.99999953,583.40314835,105810.28041352
1542301200,182.00000000,184.63199996,180.43857504,180.58199600,283.11048501,51601.26995137
1542304800,181.07779727,181.99999771,179.74936019,181.00000000,30.88006456,5588.23561417
1542308400,181.00000000,183.99999999,180.47918349,182.97170100,56.06953328,10179.78123776
1542312000,182.99000183,184.32302863,180.05100000,180.05100000,103.37383991,18756.14276287
1542315600,180.05100000,181.05355475,179.00000000,179.94529341,40.65389596,7324.39599351
1542319200,181.39999995,181.81999462,180.08086268,180.43195868,15.94128565,2879.44783882
1542322800,180.43196588,184.32302863,180.41392088,184.27933537,29.00007840,5321.87975922
1542326400,184.27933537,184.92988916,182.23850350,182.23851079,48.22098626,8848.14582801
1542330000,182.99999999,183.68826917,180.88488661,181.07914966,51.23230697,9313.02971787
1542333600,182.00000000,182.59998100,182.00000000,182.20000000,28.90814456,5267.04809413
1542337200,182.20000364,184.13703948,182.20000364,182.90730114,5.28502599,968.49035309
1542340800,183.92251656,183.92251656,182.00000000,182.00000546,21.31687142,3895.21680837
1542344400,182.00000728,182.84139086,181.31005486,181.96363094,24.44239747,4453.29249493
1542348000,182.62042242,182.62042242,181.08662467,181.98179900,71.33933357,12940.13812375
1542351600,181.98180082,183.14705881,181.06852697,181.96756050,27.21968161,4953.37010149
1542355200,181.26300818,181.73654204,179.34191176,180.01089483,120.37097007,21661.99545798
1542358800,179.39838132,179.44824936,176.98230000,176.98230000,62.95502473,11212.27550302
1542362400,177.91981987,180.50000000,177.90202789,180.00199802,47.24155838,8512.37665596
1542366000,180.02000903,181.78676856,180.00000011,180.12262918,27.20426453,4906.08493862
1542369600,180.00742179,180.69554144,179.66046248,180.69554144,128.35955958,23103.21355280
1542373200,179.66050036,181.52055081,179.66050036,181.15554411,46.38923973,8401.02511940
1542376800,180.11722475,181.30464755,179.26430485,179.71687347,573.39829366,103277.69818112
1542380400,180.49160034,180.49160034,178.43000001,178.99999999,8.26157671,1480.82089905
1542384000,178.99999999,180.00000000,178.99999999,179.99900000,57.59405322,10334.86313525
1542387600,179.00000000,180.33172628,178.95597719,179.99893252,35.37606927,6351.72847936
1542391200,179.11000000,179.38624551,178.00000000,179.00000000,11.57103995,2068.11821385
1542394800,179.00000000,179.32598166,177.67000000,177.67000000,43.08299307,7678.90445098
1542398400,177.22256796,177.55378973,176.08693009,177.55378480,39.27009154,6963.19165230
1542402000,178.03183344,178.03183344,174.82465166,175.24127317,80.25517276,14061.14495105
1542405600,174.82465165,175.59999999,174.00000000,174.39992480,97.71529664,17086.23384406
1542409200,174.39992480,178.00000000,174.39992480,177.67000000,81.86454446,14424.06722747
1542412800,176.45614275,177.62272084,176.45614275,177.16595214,55.45845500,9804.22779754
1542416400,176.08346187,177.52809242,176.08346187,176.50000002,33.45910182,5912.44043354
1542420000,176.10000000,176.10000000,174.35653362,175.91101513,45.93068819,8029.04533365
1542423600,175.69688418,175.94104499,174.00000001,175.32844458,260.18159789,45526.47119532
1542427200,174.06960046,176.74463924,174.00000048,175.43267926,48.23457201,8463.76588083
1542430800,175.43267927,176.42291157,175.43267927,175.62578480,27.25020170,4785.35940059
1542434400,175.69603511,176.82443433,175.41881536,176.82443433,30.85042077,5426.77980531
1542438000,176.82397811,177.66999989,176.35095106,177.01300000,17.12558768,3030.68075379
1542441600,177.01077601,177.08774847,176.70393500,176.70393500,16.83087752,2977.29637783
1542445200,177.36000000,177.36000000,176.50000000,176.50000000,6.31551839,1119.18292704
1542448800,176.00000000,176.28710000,175.28016806,175.28016806,10.35024468,1822.34115631
1542452400,176.26999999,176.28710000,175.28016806,175.87857825,17.55725454,3093.47733829
1542456000,175.72000001,176.80000000,175.72000001,176.78482927,51.99829036,9165.90566522
1542459600,176.10869745,176.48497151,172.00000000,176.48474404,1022.82314703,178492.64407288
1542463200,175.24477925,175.86079491,175.00000000,175.07000000,11.44419812,2004.38787313
1542466800,175.07000000,175.78093905,174.58214141,174.58214141,140.30669558,24642.29537037
1542470400,174.58214141,175.74018449,174.58214140,174.60000000,19.02504522,3329.59664395
1542474000,176.42000000,176.42000000,174.60000015,175.50000000,26.69944641,4698.33223275
1542477600,174.95000000,176.79447846,174.60100001,175.22000493,80.06984559,13998.33543820
1542481200,176.79227194,176.79227195,174.95491154,174.95491407,45.51802055,7983.81102658
1542484800,174.95491526,176.71465250,174.95491526,176.71465250,0.33166343,58.35444117
1542488400,176.72000000,176.79486112,176.00000000,176.00000000,1.96466784,346.93193141
1542492000,176.00000000,176.00000000,175.00000000,175.00000004,296.39811352,51874.28881297
