Name	Emittent	ISIN
FIDELITY EUROPE QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYSX4176 
FIDELITY GLOBAL QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYXVGZ48 
FIDELITY GLOBAL QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYV1YH46 
FIDELITY SUST GLB CORP BD MLTFCTR ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BM9GRM34 
FIDELITY SUST RSH ENH JPN EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BNGFMX61 
FIDELITY SUST RSH ENH PAC EX-JPN EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BNGFMY78 
FIDELITY SUSTAINABLE RSH ENH EM EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BLRPN388 
FIDELITY SUSTAINABLE RSH ENH EURP EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BKSBGT50 
FIDELITY SUSTAINABLE RSH ENH GLB EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BKSBGV72 
FIDELITY SUSTAINABLE RSH ENH US EQ ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BKSBGS44 
FIDELITY SUSTAINABLE USD EM BOND ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BM9GRP64 
FIDELITY US QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYXVGY31 
FIDELITY US QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYXVGX24 
FIDELITY US QUALITY INCOME ETF 	FIL Investment Management [Luxembourg] S.A. 	IE00BYV1Y969 
FIDEVFUTTRAETF DLA 	FIL Investment Management [Luxembourg] S.A. 	IE0009MG7KH8 
FIDMETAVERSEETF DLA 	FIL Investment Management [Luxembourg] S.A. 	IE000TLLSP66 
FIRST TRUST CLOUD COMPUTING ETF 	First Trust Advisors L.P. 	IE00BFD2H405 
FIRST TRUST EUROZONE ALPHADEX ETF 	First Trust Advisors L.P. 	IE00B8X9NY41 
FIRST TRUST GERMANY ALPHADEX ETF 	First Trust Advisors L.P. 	IE00BWTNM966 
FIRST TRUST GLB CAP STRNGTH ESG LDRS ETF 	First Trust Advisors L.P. 	IE00BKPSPT20 
FIRST TRUST NASDAQ CYBERSECURITY ETF 	First Trust Advisors L.P. 	IE00BF16M727 
FIRST TRUST US LARGE CAP CORE ALPHADEX 	First Trust Advisors L.P. 	IE00B8X9NW27 
FRANKLIN FTSE BRAZIL UCITS ETF 	Franklin Templeton International Services S.à.r.… 	IE00BHZRQY00 
FRANKLIN FTSE CHINA UCITS ETF 	Franklin Templeton International Services S.à.r.… 	IE00BHZRR147 
FRANKLIN FTSE INDIA UCITS ETF 	Franklin Templeton International Services S.à.r.… 	IE00BHZRQZ17 
FRANKLIN FTSE KOREA UCITS ETF 	Franklin Templeton International Services S.à.r.… 	IE00BHZRR030 
FRANKLIN LIBERTY EURO GREEN BOND ETF 	Franklin Templeton International Services S.à.r.… 	IE00BHZRR253 
FRANKLIN LIBERTY EURO SHORT MATURITY ETF 	Franklin Templeton International Services S.à.r.… 	IE00BFWXDY69 
FRANKLIN LIBERTYQ AC ASIA EX JAPAN ETF 	Franklin Templeton International Services S.à.r.… 	IE00BFWXDV39 
FRANKLIN LIBERTYQ EMERGING MARKETS ETF 	Franklin Templeton International Services S.à.r.… 	IE00BF2B0K52 
FRANKLIN LIBERTYQ EUROPEAN DIVIDEND ETF 	Franklin Templeton International Services S.à.r.… 	IE00BF2B0L69 
FRANKLIN LIBERTYQ EUROPEAN EQUITY ETF 	Franklin Templeton International Services S.à.r.… 	IE00BFWXDW46 
FRANKLIN LIBERTYQ GLOBAL DIVIDEND ETF 	Franklin Templeton International Services S.à.r.… 	IE00BF2B0M76 
FRANKLIN LIBERTYQ GLOBAL EQUITY SRI ETF 	Franklin Templeton International Services S.à.r.… 	IE00BF2B0N83 
FRANKLIN LIBERTYQ U.S. EQUITY ETF 	Franklin Templeton International Services S.à.r.… 	IE00BF2B0P08 
FRANKLIN S&P 500 PARIS ALIGNED CLMT ETF 	Franklin Templeton International Services S.à.r.… 	IE00BMDPBZ72 
FRANKLIN STOXX EURP 600PARISALGNDCLMTETF 	Franklin Templeton International Services S.à.r.… 	IE00BMDPBY65 
FST TR NASDAQ CLEAN EDGE GREEN ENGY ETF 	First Trust Advisors L.P. 	IE00BDBRT036 
FT ICAV-FR.METAV.ETF EOA 	Franklin Templeton International Services S.à.r.… 	IE000IM4K4K2 
GL.X-URANIUM DLA 	Carne Global Fund Managers [Ireland] Ltd. 	IE000NDWFGA5 
GLOBAL X AGTECH & FOOD INNOVATION ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE000EBFYWX3 
GLOBAL X AUTONOMOUS &ELECTRICVEHICLESETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5YR69 
GLOBAL X CLEAN WATER ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE000BWKUES1 
GLOBAL X CLEANTECH ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5YL08 
GLOBAL X CLOUD COMPUTING ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5YF48 
GLOBAL X COPPER MINERS ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE0003Z9E2Y3 
GLOBAL X CYBERSECURITY ETF 	Carne Global Fund Managers [Ireland] Ltd. 	IE00BMH5Y871 
